Category,Trial,Target Direction,Response,Correct,Reaction Time
A,0,R,R,True,1.6580878000004304
A,1,L,L,True,2.537871399999858
B,2,R,R,True,1.643912999999884
B,3,R,R,True,1.6387058000000252
A,4,R,R,True,1.9265211000001727
A,0,R,R,True,1.9810161000004882
B,1,L,R,False,3.4399465000005875
B,2,R,R,True,2.669187999999849
